last_name, first_name,pitch_hand,active_spin_fourseam,active_spin_sinker,active_spin_cutter,active_spin_changeup,active_spin_fastball,active_spin_slider,active_spin_curve
Guerra, Junior,R,87.8,92.3,,,,,53.3
Eades, Ryan,R,87.8,,,70.9,,28.7,
Mahle, Tyler,R,87.8,,45.4,,,,50.8
Bradley, Archie,R,87.8,95.4,,82.1,,,55.4
Markel, Parker,R,87.8,87.7,,,,49.4,
Pérez, Oliver,L,87.7,94,,,,42.8,
Hernandez, David,R,87.7,88.2,24.9,,,,35.3
Harvey, Hunter,R,87.6,,,63.2,,,60.6
Hill, Tim,L,87.6,83.5,,,,28,
Gonsolin, Tony,R,87.5,,,,,28.6,73.5
Nicasio, Juan,R,87.5,91.6,,,,25.7,
Ríos, Yacksel,R,87.5,91.9,,85,,9.9,43
Giles, Ken,R,87.4,,,,,11.9,
Koch, Matt,R,87.4,,33.1,82.7,,,45.3
McGee, Jake,L,87.3,,,,,18.5,
Alaniz, R.J.,R,87.3,89.1,,86.9,,31.9,
Garrett, Amir,L,87.3,88.2,,,,15.7,
Osuna, Roberto,R,87.3,93.1,52.8,87.8,,34.4,
Quantrill, Cal,R,87.2,94.6,,76.2,,17.3,33.1
Stephenson, Robert,R,87.1,,,,,25.7,
Rogers, Josh,L,87.1,,,80.7,,26.6,
Strahm, Matt,L,87.1,,,85.4,,31.9,36.7
Cole, A.J.,R,87.1,,,,,22.9,26.8
Elías, Roenis,L,87,95,,90.9,,,88.4
Harvey, Matt,R,86.9,,,91.5,,23.3,39
Pomeranz, Drew,L,86.7,88.7,54,83.2,,,75
Pérez, Martín,L,86.7,95.8,30.4,89.9,,,42.2
Thorpe, Lewis,L,86.7,,,77.3,,33.3,92.1
Swarzak, Anthony,R,86.6,94.4,,,,23.8,
Sipp, Tony,L,86.6,,,,,17.8,
Carle, Shane,R,86.4,,,78.6,,24.4,48.8
Eovaldi, Nathan,R,86.3,,41,,,39.3,59.1
Weber, Ryan,R,86.3,92.5,,77.5,,,90.4
Cortes, Nestor,L,86.3,86.9,,83.5,,29.1,
Tomlin, Josh,R,86.3,87.3,41.3,83.1,,,51.5
LeBlanc, Wade,L,86.3,90.5,46.4,80.8,,,68.5
López, Reynaldo,R,86.3,,,81.9,,21.9,31.3
Wang, Wei-Chung,L,86.3,,,81,,28.9,
Albers, Matt,R,86.2,94.1,,83.4,,27.5,
Hernandez, Elieser,R,86.2,86.9,,84.3,,69.2,
Peralta, Wandy,L,86.2,91.9,,87.8,,16.5,
Ginkel, Kevin,R,86.2,,,,,20.3,
Smeltzer, Devin,L,86.1,,,77.8,,27.4,71.5
Tanaka, Masahiro,R,86.1,83.9,35.8,,,30.7,61
Sale, Chris,L,86.1,94.2,,94.4,,65.4,
Chavez, Jesse,R,86.1,95.1,50.1,91,,35.7,
Plutko, Adam,R,86.1,,37.5,75.7,,,55.9
Yamamoto, Jordan,R,86.1,,28.4,83.5,,70.2,87.3
Alzolay, Adbert,R,86,,,78.9,,53.7,
Morton, Charlie,R,86,95.2,22.8,,,,88.5
Lucas, Josh,R,85.9,90.6,,,,15.3,
Sandoval, Patrick,L,85.9,,,77.6,,31.9,46.7
Kennedy, Ian,R,85.8,,40.4,,,,84.8
Peterson, Tim,R,85.7,,,83.9,,,
Baez, Michel,R,85.7,,,80.2,,17.8,
Parsons, Wes,R,85.7,89,,85,,23,
Del Pozo, Miguel,L,85.7,,,,,,44.9
Sborz, Josh,R,85.7,,,,,24.9,
López, Jorge,R,85.6,96,,86.8,,24.6,65.4
Tepera, Ryan,R,85.6,95.6,30.7,69.2,,,
Wilson, Justin,L,85.6,,44.1,,,36.9,
Magill, Matt,R,85.6,,,,,24.5,40.3
Weaver, Luke,R,85.6,,36.6,72.5,,,48.3
Drake, Oliver,R,85.6,,,,,,
Shoemaker, Matt,R,85.6,93.3,,,,14,
Luzardo, Jesús,L,85.6,90.3,,88.2,,,37
McHugh, Collin,R,85.5,,30.2,86.8,,71.8,81.1
Sobotka, Chad,R,85.5,,,,,54.6,
Kintzler, Brandon,R,85.5,91,,90.6,,14.1,
Clevinger, Mike,R,85.4,,,90.1,,77.2,79.4
Font, Wilmer,R,85.4,92.7,,,,32.6,76.8
Strasburg, Stephen,R,85.4,94.9,,89.9,,,68.5
Devenski, Chris,R,85.3,,,82.7,,45.8,
Wood, Hunter,R,85.3,,,86.2,,34.9,80.3
Diekman, Jake,L,85.3,92.4,,,,33,
Green, Chad,R,85.2,,,,,23.5,
Vargas, Jason,L,85.2,86.6,,87.1,,,70.3
Stumpf, Daniel,L,85.2,,,92,,21.6,
Wittgren, Nick,R,85.2,,,71.5,,27.9,
Happ, J.A.,L,85.2,77.9,,85.7,,27.9,29.1
González, Gio,L,85.1,88,,76.5,,,91.9
De Los Santos, Enyel,R,85,,,94.5,,8.2,
Castillo, Luis,R,85,96.5,,84.6,,10.4,
Bass, Anthony,R,85,93.1,,,,26.4,
Agrazal, Dario,R,85,89.7,,87.7,,12.1,
Phillips, Evan,R,85,89.4,,68.9,,48,
Rainey, Tanner,R,84.9,,,,,29.3,
Puk, A.J.,L,84.9,,,,,23.8,
Clarke, Taylor,R,84.9,86.2,,90.4,,26,63.7
Lyles, Jordan,R,84.9,92.9,,86,,30.6,77.9
Faria, Jake,R,84.9,,,,,22.6,
Rodriguez, Jefry,R,84.9,91.3,,89.2,,,36
Ynoa, Gabriel,R,84.8,93.6,,91.5,,15.7,34
Sims, Lucas,R,84.8,,,78,,52.7,57.2
Floro, Dylan,R,84.8,91.4,,86.1,,26.2,
Bergen, Travis,L,84.8,,,,,,69.7
Howard, Sam,L,84.8,,,,,19.8,
Cashner, Andrew,R,84.7,91.2,,81.2,,22.5,73.2
Bautista, Gerson,R,84.7,,,,,25.5,
Chafin, Andrew,L,84.7,93.1,,,,10.6,
Peña, Félix,R,84.6,94.2,,88.4,,13.8,
Gray, Jon,R,84.6,83.3,,77.2,,24.9,64.1
Álvarez, José,L,84.6,93.2,39,80.2,,29.4,32.8
Lyons, Tyler,L,84.6,87.8,,83.8,,72,
Barría, Jaime,R,84.5,89.4,,82.1,,30.7,
Kimbrel, Craig,R,84.5,,,,,,59.6
Colomé, Alex,R,84.5,,34.7,53.2,,,
Pagán, Emilio,R,84.5,,21,,,,70
Chapman, Aroldis,L,84.4,91.1,,,,51.7,
Morin, Mike,R,84.4,92.3,,67.6,,28.3,
Kela, Keone,R,84.3,,,,,,39.2
Duplantier, Jon,R,84.3,94.7,,91.3,,33.7,80.2
Ramírez, Yefry,R,84.3,90.5,,80.7,,36.5,
Young, Alex,L,84.3,92.4,32.7,78.2,,,28.1
Vieira, Thyago,R,84.3,,,,,32,
Foltynewicz, Mike,R,84.3,91.5,,88.5,,27.7,34.5
Allard, Kolby,L,84.2,,30,84.4,,,55.5
Anderson, Justin,R,84.2,88.3,,,,44.4,
Petit, Yusmeiro,R,84.2,,71,88.3,,,56.3
Jurado, Ariel,R,84.1,96.1,,89,,13.2,40.9
Scott, Tayler,R,84.1,91.3,,,,21.4,
Lugo, Seth,R,84.1,93.8,,92.4,,29.8,89.5
Grotz, Zac,R,84,89.3,,,,27.4,
Rodney, Fernando,R,84,89.9,,84.2,,30.8,
Lambert, Peter,R,84,,,69.6,,31.8,79.7
Bañuelos, Manny,L,84,93.6,,82.8,,18.5,56.5
Buehler, Walker,R,83.9,89.4,46.2,,,52.4,87.9
Kay, Anthony,L,83.9,,,90.5,,,60.7
Bundy, Dylan,R,83.9,88.7,,76.4,,27.8,78.4
Roark, Tanner,R,83.8,91.8,,85.2,,29.1,85.9
Littell, Zack,R,83.8,,,,,22.1,
Speier, Gabe,L,83.8,,,,,34.2,
Hand, Brad,L,83.8,86.1,,,,68.8,
Flexen, Chris,R,83.8,,32.5,81.2,,,
Wieck, Brad,L,83.8,,,,,19.5,86.9
Feliz, Michael,R,83.7,,,88.3,,42.5,
Cessa, Luis,R,83.7,88.9,,76.5,,9.6,
Dowdy, Kyle,R,83.7,,,,,29.1,95
Ruiz, José,R,83.7,,,78.6,,28.5,
García, Edgar,R,83.5,87.6,,,,32.2,
Diehl, Phillip,L,83.5,,,,,24.4,
Menez, Conner,L,83.5,,,54,,32.4,41.9
Tuivailala, Sam,R,83.4,92.2,,,,26.5,69.2
Kershaw, Clayton,L,83.4,,,,,38.3,80.6
Reid-Foley, Sean,R,83.4,,,85.7,,28.5,72.9
Carrasco, Carlos,R,83.3,88.8,,60.6,,17.2,51.7
Detwiler, Ross,L,83.3,88.5,25.2,66.9,,18.7,49.9
Kelly, Joe,R,83.3,92.3,,89.7,,,74.2
Gallen, Zac,R,83.2,86.3,38.3,73.7,,,69.5
Erlin, Robbie,L,83.2,86.1,,68,,39.1,86.1
Price, David,L,83.2,92.7,42.1,85.6,,,26.8
Buchholz, Clay,R,83.2,85.5,34.7,61.8,,,78.9
Montero, Rafael,R,83.2,84.6,,86.6,,38.4,
Workman, Brandon,R,83.1,,27.5,,,,84.5
Chargois, JT,R,83.1,91.7,,,,10.9,
Berríos, José,R,83,91.9,,79.3,,,80.1
Sparkman, Glenn,R,83,,,86.1,,24.9,72.7
Hembree, Heath,R,82.9,,,,,28.7,56
Beeks, Jalen,L,82.9,,31,87.6,,,81.6
Mayza, Tim,L,82.8,93.5,,,,15.7,
Suárez, Andrew,L,82.8,83.7,,85.9,,37.7,67.5
Miller, Justin,R,82.8,91.8,,,,35.1,
St. John, Locke,L,82.7,92.1,,96,,36.2,
Rodriguez, Jose,R,82.7,81.6,,56.5,,14.2,41.8
Hamels, Cole,L,82.7,82.6,39.4,80.9,,,65
Allen, Logan,L,82.6,,,69.7,,25.6,67
Scherzer, Max,R,82.6,,32.2,87.7,,18.5,56.1
Abreu, Bryan,R,82.6,,,,,43.9,77.3
Liriano, Francisco,L,82.5,85.9,,85.3,,29.9,
Alexander, Tyler,L,82.4,88.3,,79.9,,29.2,29.1
Shepherd, Chandler,R,82.4,,,84.5,,31.3,64.8
Severino, Luis,R,82.4,,,83.1,,49.9,
Trivino, Lou,R,82.3,90.8,32.9,88,,,69.2
James, Josh,R,82.3,,,86.1,,61.7,
Gearrin, Cory,R,82.2,94,,83.4,,23,
Woodruff, Brandon,R,82.2,93.1,,93.5,,19.9,20.2
Andriese, Matt,R,82.2,,,25.7,,,64.5
Estévez, Carlos,R,82.2,81.9,,76.9,,32,
Bard, Luke,R,82.1,85.2,,90.5,,24.8,
Wilson, Bryse,R,82,,,87.6,,19.3,57.8
Straily, Dan,R,82,,,64.9,,28.5,51
Sadzeck, Connor,R,82,93.2,,,,29.6,
Helsley, Ryan,R,82,,33,,,,42.6
Kuhnel, Joel,R,81.9,90.5,,,,18.3,
Shafer, Justin,R,81.9,88.6,36.7,,,36.8,
Shawaryn, Mike,R,81.9,,,,,12,35.3
Biagini, Joe,R,81.9,88.5,25.1,81.4,,,87.4
Goody, Nick,R,81.8,,,,,47,
Adams, Austin,R,81.8,,,,,28,
Rosenthal, Trevor,R,81.8,,,,,25.2,
Sewald, Paul,R,81.8,,,,,57.4,
Germán, Domingo,R,81.8,89.4,,88.3,,,28.5
Rondón, Héctor,R,81.7,96.4,,91.9,,31,
Fulmer, Carson,R,81.7,,27.6,90.6,,,51.1
DuRapau, Montana,R,81.6,,32,,,,59.6
Stewart, Brock,R,81.5,83.7,,77,,32,
Boyd, Matthew,L,81.5,82.3,,73.4,,27.5,76.5
Minter, A.J.,L,81.5,,36.2,79.6,,,
Treinen, Blake,R,81.5,94.6,34.4,,,24.3,
Ryu, Hyun Jin,L,81.4,89.6,32.5,77,,,87
Palumbo, Joe,L,81.4,,,63.9,,,74.2
Middleton, Keynan,R,81.4,,,72.8,,26.8,
Newcomb, Sean,L,81.3,,,79.8,,71.2,91.8
Wisler, Matt,R,81.3,86.1,,,,30.7,
Smith, Will,L,81.3,,,,,44.1,64.5
Morgan, Adam,L,81.3,87.3,,78.6,,50.6,57.6
Velázquez, Hector,R,81.3,88.1,,62.7,,41,51.2
Burdi, Nick,R,81.2,,,,,19.5,
Oswalt, Corey,R,81.1,89.5,,64.9,,,
Rodón, Carlos,L,81.1,,,86.9,,33.6,
Corbin, Patrick,L,81,87.5,,75.8,,20.7,21.2
Neris, Héctor,R,81,87.6,,,,,
Reininger, Zac,R,81,84.3,,80.3,,33.6,56.4
Beede, Tyler,R,81,,,81.6,,12.4,81.6
Cimber, Adam,R,80.9,82.6,,,,25.4,
Stripling, Ross,R,80.9,83,51.9,55.8,,34.5,70.7
Hess, David,R,80.7,92.4,,82.6,,26.9,44
Bailey, Homer,R,80.6,88.2,,,,27.6,71.6
deGrom, Jacob,R,80.4,84.3,,80.1,,31.3,35.4
Burr, Ryan,R,80.4,,30.6,,,41,
Bumgarner, Madison,L,80.3,,31.9,81.5,,,56.5
Brasier, Ryan,R,80.3,90.2,,85.7,,33.4,
Waguespack, Jacob,R,80.2,91.6,44.4,77.5,,27.7,36.1
Muñoz, Andrés,R,80.1,,,,,36.7,
Nogosek, Stephen,R,80.1,,,,,32.2,
Carpenter, Ryan,L,80.1,86.6,,83.7,,26.6,87.5
Almonte, Yency,R,80,,,,,30.4,
Peralta, Freddy,R,80,,,80.8,,,66.4
Kinley, Tyler,R,79.9,,,,,21.3,
Wojciechowski, Asher,R,79.9,,33.5,86.2,,65,
Miley, Wade,L,79.9,89.8,35,86.6,,31.9,68.6
Voth, Austin,R,79.8,,,63.5,,35.1,63.5
Castillo, Diego,R,79.7,92,,,,29.2,
May, Dustin,R,79.7,91.5,26.4,,,,72.3
Burke, Brock,L,79.7,84.9,,56.9,,,40.3
Iglesias, Raisel,R,79.7,86.5,,87.3,,49.7,
Johnson, Brian,L,79.7,,,,,60.9,84.2
Romo, Sergio,R,79.6,91.1,,94.9,,70.7,
Collins, Tim,L,79.6,,,,,42.4,88.9
Taylor, Josh,L,79.5,86.4,,,,24.8,
Velasquez, Vince,R,79.5,76,,,,29.2,58.3
Wilkerson, Aaron,R,79.4,,,76.6,,30,90.2
Gibson, Kyle,R,79.4,88.2,,78.5,,30.7,56.7
Minaya, Juan,R,79.4,,,73.3,,15.1,24.2
Alcantara, Sandy,R,79.3,88.2,,84.9,,22.5,38.6
Kelley, Shawn,R,79.3,,,,,33.2,
Soria, Joakim,R,79.3,82.2,,70.8,,62.2,98.5
Guduan, Reymin,L,79.3,,,,,20.9,
Bedrosian, Cam,R,79.2,,,,,33.6,
Sánchez, Aníbal,R,79.2,90,54.4,69,,32.3,28.1
Pounders, Brooks,R,79.2,,,,,33.3,
Bolaños, Ronald,R,79.1,82.9,,,,32.8,68.9
Armenteros, Rogelio,R,79.1,,,86.7,,,45.1
Cahill, Trevor,R,79.1,85.2,19.6,76.1,,,71.8
Romano, Jordan,R,78.9,,,,,28.2,
Blevins, Jerry,L,78.9,,,74.2,,,76.4
Margevicius, Nick,L,78.9,,,54.9,,24,72.5
Hudson, Daniel,R,78.9,87.7,,95.8,,16.6,
Cueto, Johnny,R,78.8,81.2,,58.8,,19.8,
