last_name, first_name,player_id,year,player_age,ff_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,
Floro, Dylan,571670,2019,29,94,87.9,87.2,,
Giles, Ken,571704,2019,29,96.9,86.4,,,
Givens, Mychal,571710,2019,29,95.3,87.1,84.7,,
Hale, David,571735,2019,32,93.7,,82.2,82.1,
Heaney, Andrew,571760,2019,28,,,84.7,79.4,
Kline, Branden,571858,2019,28,96.2,86.6,87.6,,
Koch, Matt,571863,2019,29,92.3,,85.5,79.9,
Law, Derek,571882,2019,29,94,84.7,85.8,76.8,
Markel, Parker,571917,2019,29,95.6,83.1,84.6,,
Matz, Steven,571927,2019,28,,89.5,84.3,78.5,
Mikolas, Miles,571945,2019,31,93.7,87,87.7,78.3,
Miller, Shelby,571946,2019,29,94.3,79.7,86.7,79.4,
Paxton, James,572020,2019,31,95.4,,86.2,81.1,
Rosenthal, Trevor,572096,2019,29,98,88,87.6,,
Skaggs, Tyler,572140,2019,28,91.3,,83.8,75.1,
Smith, Burch,572143,2019,29,92.6,85.7,82.2,78.2,
Tepera, Ryan,572193,2019,32,93.4,82.3,85.6,,
Erlin, Robbie,572362,2019,29,90.7,88.2,83.5,76.2,
VerHagen, Drew,572403,2019,29,93.8,84.8,89.1,78.5,
Bard, Luke,572703,2019,29,94.2,86,87.2,,
Greene, Shane,572888,2019,31,93.9,80.2,85.4,,
Keuchel, Dallas,572971,2019,31,89.4,78.4,79.7,,
Lucas, Josh,572998,2019,29,90.3,83.3,,81.5,
Morin, Mike,573046,2019,28,91.6,81.8,72.6,,
Rogers, Taylor,573124,2019,29,94.6,82.8,,79.9,
Rosscup, Zac,573127,2019,31,92.4,86.2,,,
Straily, Dan,573185,2019,31,90.2,83.6,84,76.1,
Stroman, Marcus,573186,2019,28,92.9,85.7,87,75,
Minaya, Juan,573668,2019,29,93.4,84.4,88.1,83.6,
Kikuchi, Yusei,579328,2019,28,92.5,86,84.5,75,
Goody, Nick,580792,2019,28,92.6,82.3,,,
Velazquez, Hector,584171,2019,31,92.2,83.1,85.9,77.6,
Ramos, Edubray,591693,2019,27,91.5,80.8,89.1,,
Adam, Jason,592094,2019,28,94.4,,89.4,77.7,
Allen, Cody,592102,2019,31,92.2,,,82.6,
Bedrosian, Cam,592135,2019,28,92.9,83.2,,,
Biddle, Jesse,592145,2019,28,93.8,87.1,,77.2,
Brennan, Brandon,592165,2019,28,94.5,87.1,84.6,,
Brice, Austin,592169,2019,27,93.1,,87.1,81.7,
Claudio, Alex,592222,2019,27,85.5,76.6,73.3,69.9,
Covey, Dylan,592229,2019,28,94.2,83.4,85.7,82,
Crichton, Stefan,592233,2019,27,93.6,,87.3,78.8,
Eades, Ryan,592280,2019,28,91.9,83.1,82.9,,
Foltynewicz, Mike,592314,2019,28,94.8,85.4,86.7,79.4,
